the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat,long,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54
0101000020E6100000A6272CF180C65940F1BA7EC16E6C4140,2364,1953,,,Kangbenchesang Ejiaowulin Si,完冒乡,Wanmao xiang,Wan Mao Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.84713,103.10162,623022207,623022125,mkhar mo che gsang sngags bdud 'dul gling,623022207,623022125,mkhar mo che gsang sngags bdud 'dul gling,,co ne,G2203,co ne rdzong,G4833,,,,,？？,,Kangbenchesang Ejiaowulin Si,na,Nyingma,12.05254911,12.053,,,,,,,,,,,,,,,,
0101000020E6100000184339D1AEE459407923F3C81F0C4140,249,2010,,,Zhari Si,尼傲乡,Niao xiang,Ni Ao Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.09472,103.57317,623024204,623024106,rtsa ri bon dgon,623024204,623024106,rtsa ri bon dgon,,the bo,G2205,the bo rdzong,G4834,,,,,扎日寺,,Zhari Si,1388,Bon,9.088430428,9.088,,,,,,,,,,,,,,,,
0101000020E6100000DAFE959526F559400FB4024356034140,1093,2017,,,Zhedoulong Si,桑坝乡,Sangba xiang,Sang Ba Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.02607,103.83048,623024209,623024128,bras dog lung dgon pa,623024209,623024128,bras dog lung dgon pa,,the bo,G2205,the bo rdzong,G4835,,bras dog lung dgon pa,,,哲豆隆寺,,Zhedoulong Si,1599,Gelug,6.643046944,6.643,,,,,,,,,,,,,,,,
0101000020E6100000613255302ACB59401D5A643BDF0F4140,1078,1988,,,Ganmibaohe Si,益哇乡,Yiwa xiang,Yi Wa Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.124,103.17445,623024200,623024130,sgang tsha'i spo shog dgon bsam grub gling,623024200,623024130,sgang tsha'i spo shog dgon bsam grub gling,,the bo,G2205,the bo rdzong,G4836,,sgang tsha spo shog dgon bsam grub gling,,,甘密包合寺,,Ganmibaohe Si,1750,Gelug,10.32162173,10.322,,,,,,,,,,,,,,,,
0101000020E6100000CAA65CE15DF859402159C0046EE54040,1091,2015,,,Duo'er Ranzi Si,多儿乡,Duoer xiang,Duo Er Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.79242,103.88073,623024207,623024131,rdo ri ra rtsa dgon dpal ldan chos 'khor gling,623024207,623024131,rdo ri ra rtsa dgon dpal ldan chos 'khor gling,,the bo,G2205,the bo rdzong,G4837,,,,,多尔然子寺,多儿然子寺,Duo'er Ranzi Si,1799,Gelug,5.397964967,5.398,,,,,,,,,,,,,,,,
0101000020E61000007429AE2AFBFA5940B08F4E5DF9E04040,2812,2014,,,Baigu Si,多儿乡,Duoer xiang,Duo Er Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.75761,103.92158,623024207,623024132,pe? Kong dgon bde chen lhun grub gling,623024207,623024132,pe? Kong dgon bde chen lhun grub gling,,the bo,G2205,the bo rdzong,G4838,,pe kong dgon bde chen lhun grub gling,,,白古寺,,Baigu Si,1838,Sakya,5.397964967,5.398,,,,,,,,,,,,,,,,
0101000020E6100000AF997CB3CDFB5940884677103BFF4040,1096,2021,,,Luodazangni Si,洛大乡,Luoda xiang,Luo Da Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.99399,103.93443,623024211,623024133,ri dwangs gtsang nyid dgon dga ldan bshad sgrub 'phel rgyas gling,623024211,623024133,ri dwangs gtsang nyid dgon dga ldan bshad sgrub 'phel rgyas gling,,the bo,G2205,the bo rdzong,G4839,,,,,洛大藏尼寺,藏尼贡巴噶丹协周拍吉琅,Luodazangni Si,1850,Gelug,14.59640928,14.596,,,,,,,,,,,,,,,,
0101000020E610000082FA96395DEC5940B1506B9A77044140,1092,2016,,,Derang Si,桑坝乡,Sangba xiang,Sang Ba Xiang,623024,迭部县,Diebu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.0349,103.69319,623024209,623024134,de rang dgon dge 'dun phun tshogs gling,623024209,623024134,de rang dgon dge 'dun phun tshogs gling,,the bo,G2205,the bo rdzong,G4840,,,,,德让寺,,Derang Si,1899,Gelug,6.643046944,6.643,,,,,,,,,,,,,,,,
0101000020E6100000AB3E575BB10B5A40A8E3310395F54040,1059,1965,,,Heixia Si,憨班乡,Hanban xiang,Han Ban Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.91861,104.1827,623023204,623023121,gser bo gshong bkra shis lhun po dgon,623023204,623023121,gser bo gshong bkra shis lhun po dgon,,brug chu,G2206,brug chu rdzong,G4841,,,,,黑峡寺,裕化寺,Heixia Si,1680,Gelug,7.65169485,7.652,,,,,,,,,,,,,,,,
0101000020E61000005BD3BCE314055A409E7B0F971CFB4040,1058,1963,,,Baishi Si,巴藏乡,Bacang xiang,Ba Cang Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.96181,104.0794,623023201,623023122,pe kun dgon bkra shis chos 'phel gling,623023201,623023122,pe kun dgon bkra shis chos 'phel gling,,brug chu,G2206,brug chu rdzong,G4842,,,,,白格寺,扎西曲培林,Baishi Si,1709,Gelug,11.08770374,11.088,,,,,,,,,,,,,,,,
