id,name,lat,long,located in
G1KR1116,根沙寺,30.56667,98.9,贡觉县; Gongjo County; go 'jo rdzong /
G1902,草多隆寺; mtsho thog lung sngags khang /,36.08339,100.79399,共和县; chab cha rdzong /
G2844,spos khang dgon/; 波康寺; Pokhang Moanstery,29.13333,89.36667,myang stod/; pa snam rdzong /; 白朗县; Panam County
G1KR2852,擦伊寺; khrul bzhengs dgon pa/,31.89556,96.13876,nang chen rdzong /; 囊谦县; Nangchen County
G3483,gla ru ba/,,,nyang po/
G00AG02560,zhes ho'u/,,,rgya nag; 支那; china
G1KR2772,卡纳寺; kha na dgon pa/,33.43066,97.29997,称多县; khri 'du rdzong /
G1KR2785,thub bstan dgon pa/; 土登寺,33.27071,97.04208,称多县; khri 'du rdzong /
G1KR2,gser rlabs dgon/; 金波寺,31.21007,103.39674,lung dgu rdzong /; 汶川县
G1KR285,mdo bzhi mo dgon/; 德若莫寺,31.06667,101.56667,rong brag rdzong /; Rongdrak county; 丹巴县
G2634,多察日寺; gto khra ris dgon/,,,nang chen rdzong /; 囊谦县; Nangchen County
G2501,stag rtse ri khrod dgon/,,,se ra smad grwa tshang /; Serame Dratsang
G1KR124,bka' khyab dgon/; 尕渣寺,32.25111,102.03203,马尔康县; Barkham County; 'bar khams rdzong /
G4065,lnga stag bde chen gling /,,,rong brag rdzong /; Rongdrak county; 丹巴县
G3813,龙通寺; klong thang dgon/,31.11667,99.01667,dpal yul rdzong /; Palyul county; 白玉县
G1KR2898,郭里木寺; gor mo dgon pa/,37.21,97.38747,乌兰县; wu'u lan rdzong /
G1DOMM0024,Bogd khaanii nogoon süm; shes rab dpal rgyas gling /,47.88,106.9,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G4728,bsam gtan dar rgyas gling /,,,
G2CN11061,khra phu/,,,
G1KR2109,hor sding ri khrod/; 桦林寺,36.84274,101.46414,湟中县; sku 'bum rdzong /
G2CN11063,stabs ka,,,
G3700,bal yul kaH thog dgon gsum/,,,bal yul/; 尼泊尔; nepal
G1KR1513,弥勒隐修院; byang chen ri khrod/,29.21667,88.73333,gzhis ka rtse/; 桑珠孜区(2014); Shikatse City (1986-2014)
G1KR2062,扎油三静修院; tsa yus ri khrod gsum/,34.98287,102.72699,tsa yus/; bsang chu rdzong /; 夏河县
G1KR528,tsho phu ri khrod/; 错阿日车寺,31.8,99.41666,sde dge rdzong /; 德格县; Derge County
G2502,byang chub gling /,,,se ra smad grwa tshang /; Serame Dratsang
G2KR11,Xiaozhao si; Baga juu; 崇福寺; Buyanyi Udurigci Süme; Buyan-yi udurigci süme,40.9139,107.425,mkhar sngon grong khyer; Kökeqota; Kökeqota; 呼和浩特市
G2247,do shangs dgon/; 多香寺,31.45,79.58,rtsa mda' rdzong /; 札达县; Tsada County
G1KR1629,bkra shis chos 'phel/; 扎西群培寺,28.31667,88.1,gting skyes rdzong /; Tingkye county; 定结县
G4064,mdo bzhi mo dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1895,dkyil gdong sngags khang /; 吉东寺,36.33407,100.61,共和县; chab cha rdzong /
G1AG68,na la tse gnas po che།,,,
G1740,sde nang dgon pa/,,,sde nang zhang /; 达日县; dar lag rdzong /
