id,name,lat,long,located in
G339,reb gong khyung dgon/,,,reb gong /
G1KR1699,rdo rting dgon/; 多登寺,31.20633,94.19508,Biru county; 'bri ru rdzong /; 比如县
G1KR1462,加里寺; rgya ri dgon/,28.78735,92.09557,chu gsum rdzong /; Chusum county; 曲松县
G1060,shangs 'bras spungs/,,,
G2921,kha shul dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G314,dan tig dgon/; 丹笛寺,35.88778,102.5,kha ba drug gi dgon pa/; 化隆回族自治县; ba yan rdzong /
G3366,gzhong pa lha chu dgon/; 雄巴拉曲寺,29.64005,90.93258,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; se ma grong tsho (stod lung bde chen rdzong)
G8LS12773,nyi ma lung dgon/,,,bum thang /
G1PD108531,khang dmar dgon/,,,马尔康县; Barkham County; 'bar khams rdzong /
G1KR2068,a mchog sngags grwa/; 阿木去乎密宗院,34.80689,102.71378,bsang chu rdzong /; 夏河县
G1KR2288,zhang lis ho'u la zi/; 香力胡拉寺,36.13637,102.20786,化隆回族自治县; ba yan rdzong /
G2586,代巴寺; dad pa dgon/,32.67677,96.61373,yul shul rdzong /; 玉树县
G1KR619,格嘎寺; dge 'gab dgon/,33.23333,98.06667,ser shul rdzong /; Seshul county; 石渠县
G1KR2610,mkhar sdon sgar kha/; 归化寺,35.8828,101.0082,贵南县; mang ra rdzong /
G1KR1739,贡欧寺,31.65,94.3,Sok county; sog rdzong /; 索县
G1KR2024,bye gshong ser sde/; 木西合新寺,34.26186,101.10738,rma chu rdzong /; 玛曲县
G1723,dbang mda' dgon/; Wangda Gon Tubten Chokorling,,,mdo gong ma zhang /
G1KR1083,乐曲寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G1KR141,bde chen dgon/; 斯跃武寺,31.75374,101.42146,'dzam thang rdzong /; 壤塘县
G2922,seng+ge gnam rdzong /,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G1KR328,黑金寺; a dur dgon/,29.83333,101.11667,nyag chu rdzong /; 雅江县; Nyakchu county
G1KR1879,白玛卫林寺,29.76667,95.31667,Metok county; me tog rdzong /; 墨脱县
G1724,tsha skor dgon pa/,,,mtsho nag zhang /
G1857,stong che rgya thang lha khang /,,,khri ka rdzong /; 贵德县; 同仁县; Rebkong County; reb gong rdzong /
G4048,bkra shis chos gling dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR1738,琼扩寺,31.65,94.3,Sok county; sog rdzong /; 索县
G1KR1179,查仲德钦绕吉林寺; bde chen rab rgyas gling /,31.6,95.08334,steng chen rdzong /; Tengchen County; 丁青县
G75,'on nges gsang dar rgyas gling /,,,sne gdong rdzong /; Nedong County; 乃东县; 'on/
G1KG17132,khams rdor brag dgon/,,,sde dge rdzong /; 德格县; Derge County; lhun grub rdzong /; 林周县; Lhundrub county
G1802,果芒寺; Gomang Gon; sgo mang dgon/,32.76,100.8,班玛县; pad+ma rdzong /; Pema county; yar thang zhang /
G1KR1082,羊寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G511,sba mo chos sdings/,,,
G1KR2579,仍果俄康; rdzong 'go'i sngags khang /,36.10997,101.28885,khri ka rdzong /; 贵德县
G1KR2638,bu rtsa dgon pa/; 吾扎寺,32.76,100.8,班玛县; pad+ma rdzong /; Pema county
G777,a mo ri mo/,,,spungs thang bde ba can/; punakha
G4492,郎依寺; sna steng dgon/,32.8135,103.64088,zung chu rdzong /; 松潘县; shar khog
G1597,nor khog dgon pa/; 洛古寺,30.65,100.26667,nyag rong rdzong /; 新龙县; Nyakrong county
G3814,rgya shod dgon/,,,dpal yul rdzong /; Palyul county; 白玉县
G208,phug chung dgon pa/; Pugchung Gonpa Mishi Dorje Dzong,,,
G3948,rma mgrin dgon/,,,ser shul rdzong /; Seshul county; 石渠县
G3920,mtha' dmar dgon/; 塘麻寺,30.5,100.1,li thang rdzong /; 理塘县; Litang county
G1KR994,泽尼寺,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county
G1KR150,grub 'dzar dgon/; 周扎寺,31.79796,101.07826,'dzam thang rdzong /; 壤塘县
G72,'ba' tsag dgon/,,,
G507,dga' ldan theg chen gling /; Gandantegchenlin khiid,47.92,106.88,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G1KR1280,夏拉寺,29.41667,97.75,左贡县; Zogang County; mdzo sgang rdzong /
G1KR1081,索龙寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G1854,加卜查寺; Gyabtsa Gon Tengyeling; rgyab tsha dgon/,35.88335,101.50848,khri ka rdzong /; 贵德县
G1912,托勒寺; tho le dgon/,35.92132,100.66474,贵南县; mang ra rdzong /
G2920,rdzong leb dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G3815,brag dmar dbang chen gling dgon/,,,dpal yul rdzong /; Palyul county; 白玉县
G4179,dar rgyas gling /,,,yar klungs/
G1KR1159,巴合寺; sbra ho dgon/,31.22718,95.925599,steng chen rdzong /; Tengchen County; 丁青县
G1KR2917,dga' ldan chos gling lha khang /; 格丹奇林拉康,37.13626,99.15042,天峻县; them chen rdzong /
G1KR995,跟塘寺; ging thang dgon/,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county
G1DOMM0005,nor bu gling kha/; Norovlin,47.88,106.9,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G1KR1080,达登寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /
G3285,rab rgyas dgon/,,,snye mo rdzong /; 尼木县; Nyemo county; gzhu phu shang (snye mo rdzong)
G1KR59,？; bde chen thos bsam mgon po gling /,32.05796,102.99941,khro chu rdzong /; 黑水县
G1KR1112,嘎久寺,30.5,98.9,贡觉县; Gongjo County; go 'jo rdzong /
G2CN10831,gsang sngags chos 'khor gling /; 桑阿曲廓林寺,29.19928,91.54402,grwa nang rdzong /; Dranang county; 扎囊县
G1KR403,g.yung drung dgon/; 英珠能寺,31.65,99.83334,dkar mdzes rdzong /; Kartse County; 甘孜县
G244,Bodong E Gonpa; 博东俄寺; bo dong e dgon pa/,29.3,88.2,lha rtse rdzong /; 拉孜县; Lhatse county
G1KR2308,下什塘苯教寺; shar thang zi/,36.06352,102.5,化隆回族自治县; ba yan rdzong /
G1KR54,brag nag dgon/; 大寨寺,31.44526,102.50254,btsan lha rdzong /; 小金县
G4223,stag rtse grwa tshang /,,,byar yul/
G1KR718,久如古念拉康; co ro dge bsnyen lha khang /,29.03333,99.88333,cha phreng rdzong /; 乡城县
G1KR681,萨迦寺; li thang sa skya dgon/,29.96667,100.2,li thang rdzong /; 理塘县; Litang county
G3923,蒙沙寺; 'bum gsar dgon/,33.01667,98.15,ser shul rdzong /; Seshul county; 石渠县
G11,rdo rje brag; 多吉扎寺; Dorje Drak Ewam Chogar,29.35536,91.13459,gong dkar rdzong /; Gongkar county; 贡嘎县
G1KR2382,百户寺; pe hu'u dgon/,37.72458,100.75615,chu len rdzong /; 祁连县
G1PD96169,东麻昂寺; ka mdo gdong dmar sna dgon/,35.88,102.29893,化隆回族自治县; ba yan rdzong /
G1KR2629,nya rgan dgon pa/; 念干寺,32.56,100.6,班玛县; pad+ma rdzong /; Pema county
G1KR1676,朱德寺,31.48333,93.68333,Biru county; 'bri ru rdzong /; 比如县
G3977,朗加曲登; gser mchod rten dgon/,32.26667,100.35,gser thar rdzong /; 色达县; Serta county
G1KR1887,ri lnga dgon/; 日昂寺,29.61667,96.28333,波密县; spo bo rdzong /; Pome County; sum 'dzoms chus (spo bo rdzong)
G1KR2563,拉扎寺; rwa bza' grwa tshang /,35.94163,101.47879,khri ka rdzong /; 贵德县
G3158,'gar rtse dgon/,,,
G514,dpa' ris yar lung dgon/,,,
G4130,ka bzhi dgon/; 高尔卡寺,30.48333,101.48333,lcags zam rdzong /; 泸定县
G1KR161,spang thog dgon/; 棒托寺,32.42036,101.06396,'dzam thang rdzong /; 壤塘县
G1KR1219,东冲寺,30.81667,97.63333,brag g.yab rdzong /; 察雅县; Drakyap County
G3CN1561,shes rab gling /; 智慧林寺; Sherabling,32.030651,76.412237,bir/; Bir
G3987,rags bkram dgon/; 然充寺,32.13334,99.93333,gser thar rdzong /; 色达县; Serta county
G1KR1296,格各可秀寺,29.45,98.28333,smar khams rdzong /; 芒康县; Markham county
G1KR1113,朗日寺,30.5,98.9,贡觉县; Gongjo County; go 'jo rdzong /
G1728,'bos lam dgon/,,,玛沁县; rma chen rdzong /; khra ma ho zhang /
G1KR719,dbu lo lha khang /; 乌鲁拉康,29.03333,99.88333,cha phreng rdzong /; 乡城县
G1KR2309,下什塘寺; sha stengs bon dgon/,36.06352,102.5,化隆回族自治县; ba yan rdzong /
G3828,rdzong shod dgon/; 仲学寺,31.36667,99.1,rdzong shod bde gshegs 'dus pa'i gnas/; dpal yul rdzong /; Palyul county; 白玉县
G2815,tshong 'dus grwa tshang /; 丛堆寺,29.23605,91.39941,grwa nang rdzong /; Dranang county; 扎囊县
G1KR1287,ri sna dgon/; 日乃寺,29.637822,97.532997,左贡县; Zogang County; mdzo sgang rdzong /
G1KR997,khre dgon/; 车寺,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county
G3461,bde mo thang dgon/,,,stag rtse rdzong /; 达孜县; Taktse county; 'chums/; mchums mda' shang (stag rtse rdzong)
G1KR1675,珠纳寺,31.48333,93.68333,Biru county; 'bri ru rdzong /; 比如县
G1KR2564,下兰角俄康; lan ju zhol ma'i sngags khang /,35.94163,101.47879,khri ka rdzong /; 贵德县
G1KR1698,klu mkhar dgon/; 鲁卡寺,31.188049,94.086032,Biru county; 'bri ru rdzong /; 比如县
G1PD96138,le rgan dgon pa/; 列干寺,35.84734,102.18,化隆回族自治县; ba yan rdzong /
G515,ku se gser ljongs/,,,sde dge
G1KR998,rdo phu dgon/; 多普寺,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county
G2923,dpa' bo ri khrod/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G4124,杜呷寺; gdugs dkar dgon/,30.53333,101.08334,rta'u rdzong /; 道孚县; Tawu county
G1KR137,dza 'go dgon/; 咱寺,32.22169,101.61107,马尔康县; Barkham County; 'bar khams rdzong /
G1KR2324,rdo gzhis bon dgon/; 多西寺,36.06912,102.52355,化隆回族自治县; ba yan rdzong /
G4221,byar skyid sbug,,,byar yul/
G2GS1304,休登寺; shug steng dgon/,29.48333,96.76667,八宿县; Pashod County; dpa' shod rdzong /
G4354,tsha gan pe shing dgon/,,,mdzod dge rdzong /; 若尔盖县
G1KR1297,尼丁寺,29.45,98.28333,smar khams rdzong /; 芒康县; Markham county
G1KR1210,昆达寺,30.56667,97.96667,brag g.yab rdzong /; 察雅县; Drakyap County
G1KR1863,日嘎寺,30.05,92.86667,kong po rgya mda' rdzong /; 工布江达县; Kongpo Gyamda County
G2KR39,bkra shis chos 'khor gling /; Dashchoinkhorlin khiid; Dashchoinkhorlin khiid,48.00795,106.93,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G2LS531,bya skyibs dgon/; 嘉棋寺,30.78333,81.41666,spu hreng rdzong /; Purang county; 普兰县
G1KR1111,巴日寺,30.5,98.9,贡觉县; Gongjo County; go 'jo rdzong /
G1KR60,bde chen gling dgon/; 德青郎寺,32.05796,103.01441,khro chu rdzong /; 黑水县
G2924,ngar sna sku sha dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County
G3980,'phrul steng dgon/; 迟当寺,31.93333,100.7,gser thar rdzong /; 色达县; Serta county
G7,smra bo lcog; 莫吾觉寺,28.43163,91.47381,mtsho smad rdzong /; 措美县; Tsome county
G4825,唐尕昂扎西寺; thang dkar nang bkra shis dgon/,35.16187,102.88161,bsang chu rdzong /; 夏河县
G1KR1298,仁青林寺,29.45,98.28333,smar khams rdzong /; 芒康县; Markham county
G1KR85,g.yung drung dgon/; 阳日岗寺,31.87719,102.46987,马尔康县; Barkham County; 'bar khams rdzong /
G4471,张家寺; tha yan chi dgon pa/,37.14274,101.56408,大通县; gser khog rdzong /
G1KR2836,yib bis ri dgon pa/; 要毕日寺,32.30812,95.479,nang chen rdzong /; 囊谦县; Nangchen County
G1726,mkhar skor dgon/,,,mdzo rgan rwa bar zhang /
G1KR2344,旦麻尼姑寺; 'dab ma'i jo mo dgon pa/,35.64999,102.60583,循化县; ya rdzi rdzong /
G1KR1677,曲林寺,31.48333,93.68333,Biru county; 'bri ru rdzong /; 比如县
G1874,却毛寺; stong che khyung mo dgon/,35.91284,101.38,khri ka rdzong /; 贵德县
G4100,thang sgang dgon pa/; 唐岗寺,29.61667,101.05,nyag chu rdzong /; 雅江县; Nyakchu county
G1KR2631,恩达寺; we mda' dgon pa/,33.08,100.6,班玛县; pad+ma rdzong /; Pema county
G4565,孜修东寺; rtse zhol dgon/,30.08169,91.76149,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县
G2080,ra khyim dgon/,,,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县; rtsa zhol shang (mal gro gung dkar rdzong)
G3862,曲岭寺; chos gling dgon/,28.83333,100.46667,'dab pa rdzong /; 稻城县; Dabpa county
G1KR1216,达热寺,30.81667,97.63333,brag g.yab rdzong /; 察雅县; Drakyap County
G2610,sku 'bum dgon/,,,
G1KR2375,加多寺; rgya tog dgon/,37.33,101.86128,门源回族自治县; sems nyid rdzong /
G4060,gling chen dgon/; 宁青寺,30.78333,101.75,rong brag rdzong /; Rongdrak county; 丹巴县
G1PD96025,khwa ta'i kha'i dgon pa/; 卡地喀寺,35.93296,102.76,民和县; bka' ma log rdzong /
G2DOMM0032,Mongol unshlagat Buyan arvijikhui khiid,47.92,106.88,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G3942,'dan shug ra dgon pa/,,,ser shul rdzong /; Seshul county; 石渠县
G2077,nyi ma lcang rwa dgon/; 尼玛江热寺,30.0102,91.94788,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县; nyi ma lcang ra shang (mal gro gung dkar rdzong)
G353,金龙寺; skyid lung dgon/,31.23333,101.51667,rong brag rdzong /; Rongdrak county; 丹巴县
G2CN11087,mdo steng lcags mo dgon/,,,dkar mdzes rdzong /; Kartse County; 甘孜县
G457,gnas rnying dgon pa/; Nenying; 乃宁寺,28.81667,89.65,khang dmar rdzong /; 康马县; Kangmar county
G1KR2686,仓马河帐房寺; phrang dmar chos sgar/,34.58,99.15,玛沁县; rma chen rdzong /
G2081,sga dam dgon/,,,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县
G2526,ri ngar bkra shis dge 'phel dgon/,35.39524,102.40276,rgan gya/; bsang chu rdzong /; 夏河县; rgan rgya ri ngar/
G2647,肖甫寺; shor phu dgon/,32.74345,96.14986,nang chen rdzong /; 囊谦县; Nangchen County
G4059,布科寺; ya ra dgon/,30.91667,101.8,rong brag rdzong /; Rongdrak county; 丹巴县
G2744,Tangsar Gar; thang sar sgar/,,,Gannan Prefecture; kan lho rang skyong khul/; 甘南州
G2611,嘎日寺; mgar dgon/,,,nang chen rdzong /; 囊谦县; Nangchen County
G1KR1320,多强寺,30.06667,98.11667,smar khams rdzong /; 芒康县; Markham county
G4173,rgyas sman mig bzhi/,,,'phyongs rgyas khul/
G4040,gsang sngags bstan rgyas gling /,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR1229,泽琼寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G1KR121,kam myos dgon/; 干木鸟寺,32.21367,101.96704,马尔康县; Barkham County; 'bar khams rdzong /
G1KR809,则母寺,29.15,99.03333,Dechen County; 德钦县; bde chen rdzong /
G1KG116098,mdo sde brag dgon pa/; dodedrak monastery,27.514285,89.611616,thim phu/; Thimphu
G2CN11146,dge rgyas mtha' brtan gling /,28.49181,83.064836,bal yul/; 尼泊尔; nepal
G1KR1565,'dar grong mo che/; 达尔查木曲寺,29.08333,87.63333,lha rtse rdzong /; 拉孜县; Lhatse county
G1847,色尔加俄康; se kyA sngags khang /,35.94506,101.5,khri ka rdzong /; 贵德县
G1KR1238,则松寺,30.23333,98,brag g.yab rdzong /; 察雅县; Drakyap County
G1KR1870,巴嘎寺,30.21667,93.11667,kong po rgya mda' rdzong /; 工布江达县; Kongpo Gyamda County
G1661,ri spun dgon/; 日班寺,31.63333,99,sde dge rdzong /; 德格县; Derge County
G4484,班固寺; ban rgud dgon/,37.28451,101.9419,门源回族自治县; sems nyid rdzong /
G822,spangs dgon o rgyan gu ru/,,,
G1KR1218,龙拉寺,30.81667,97.63333,brag g.yab rdzong /; 察雅县; Drakyap County
G1KR2748,ru ba bar ma/; 日哇多玛寺,32.48836,95.2984,杂多县; rdza stod rdzong /
G4172,rgyas sman skyid sbug,,,'phyongs rgyas khul/
G1KR1228,沙迦寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G2DOMM0035,Gandandarjaalin datsan; dga' ldan dar rgyas gling grwa tshang /,47.92,106.89,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G527,sman sdong dgon/; 曼冬寺,31.02,85.17,mtsho chen rdzong /; 措勤县; tshi phri chus (mtsho chen rdzong)
G3738,生根寺; mi nyag seng+ge dgon/,30.31667,101.48333,mi nyag ring mo/; 康定县; Dardo county; dar mdo rdzong /
G4702,te'u bur sgom khang /,,,
G1KR2092,却康寺; mchod khang zi/,36.35945,101.81,湟中县; sku 'bum rdzong /
G3823,永乐寺; a rig yang le dgon/,31.36667,99.1,dpal yul rdzong /; Palyul county; 白玉县
G4649,恰科日瓜什则寺; cha skor mgar rtse dgon/,35.08,101.6,rtse khog rdzong /; 泽库县
G1573,bon po dgon/; 英珠能寺,31.65,99.83334,dkar mdzes rdzong /; Kartse County; 甘孜县
G4171,ri bo khron stengs dpal sdings/,,,
G1901,lung mtshe sngags khang /; 龙才寺,36.09817,100.91389,共和县; chab cha rdzong /
G3637,rmog rtsa dgon/,,,"Chamdo City (Prefecture level, 2014); chab mdo sa khul/; 昌都市 (地区级市，2014)"
G2439,brag sna dgon/,,,chu shur rdzong /; 曲水县; Chushur County; mnyes thang shang (chu shur rdzong)
G3860,yang steng dgon/; 洋登寺,29.03333,100.28333,yang stengs/; 'dab pa rdzong /; 稻城县; Dabpa county
G1KR1217,帮嘎寺,30.81667,97.63333,brag g.yab rdzong /; 察雅县; Drakyap County
G1KR2676,东宗寺; sdong rdzong dgon pa/,33.26,100.65,久治县; gcig sgril rdzong /
G2875,rgyal phu steng 'gro ri khrod/; Gyalpu Tengdro Ritro,,,
G1PD96099,dgon pa zi/; 官巴寺,36.3833,101.99294,平安县; bde khams rdzong /
G1KR1227,尊桑寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G2DOMM0034,dga' ldan chos 'khor gling /; Gandanchoinkhorlin,47.92,106.89,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G2KG208037,menrikha temple; sman ri kha/,,,
G1KR1983,gong smad dge 'phel gling /; 贡美格培寺,33.4808,104.52521,舟曲县; 'brug chu rdzong /
G3818,打科寺; mda' kho dgon/,31.21667,98.83334,dpal yul rdzong /; Palyul county; 白玉县
G1KR1763,当琼寺,31.35,86.76667,Nyima county; nyi ma rdzong /; 尼玛县
G1KR214,索藏格寺; sog tshang dgon/,33.47423,102.47345,mdzod dge rdzong /; 若尔盖县
G4701,kha rgya sgar/,,,
G00AG01622,se bkra bzang dgon/; 扎桑寺,29.41667,86.88333,ngam ring rdzong /; Ngamring county; 昂仁县
G1922,玉隆寺; g.yu lung brag dkar dgon/,35.89912,99.9565,兴海县; rtsi gor thang rdzong /
G1KR2402,bde chen ri khrod/; 满丛德庆寺,35.4545,102.06116,同仁县; Rebkong County; reb gong rdzong /
G4866,chu bar dgon/; 楚哇寺,33.92956,103.94851,舟曲县; 'brug chu rdzong /; chu bar zhang ('brug chu rdzong)
G1KR2065,sgyis tshang sgar/; 吉仓寺,34.71084,102.76678,bsang chu rdzong /; 夏河县
G3812,Yachen monastery; ya chen dgon/; 亚青寺,,,dpal yul rdzong /; Palyul county; 白玉县
G2614,乜也寺; lho mi g.yel dgon/,,,nang chen rdzong /; 囊谦县; Nangchen County
G1KR1226,卓修寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G447,mnga' ris grwa tshang /; 阿里扎仓寺,29.28667,91.83596,sne gdong rdzong /; Nedong County; 乃东县; 'on/
G1KR313,san si (dgon); ？？,28.91667,101.83334,brgyad zil rdzong /; 九龙县
G2562,拉布寺; lab dgon/; Lab Ganden Do-ngak Shadrub Palgyeling,33.26592,97.13786,称多县; khri 'du rdzong /
G1KR800,云仙寺,28.06667,99.38333,Dechen County; 德钦县; bde chen rdzong /
G00AG01697,o rgyan 'gro 'dren gling /,,,myang stod/; rgyal rtse rdzong /; 江孜县; Gyangtse county
G2712,布让萨迦寺; spu rong sa skya dgon/,33.37034,97.07851,yul shul rdzong /; 玉树县
G1AG89,kre wel dbu sde/,,,
G1PD95995,盘龙寺; phan lung zi/,36.17549,102.89144,民和县; bka' ma log rdzong /
G1KR1616,gyang rong ser sding /; 色丁寺,28.58333,89.66666,khang dmar rdzong /; 康马县; Kangmar county
G1852,a myes ri lang lha khang /,,,khri ka rdzong /; 贵德县
G1KR138,'bar khams se ra dgon/; 沙拉寺,32.22169,101.62607,马尔康县; Barkham County; 'bar khams rdzong /
G1PD96108,bum pa chos lung /; 却隆寺,36.93,101.91,Gonlung; dgon lung rdzong /; 互助县
G2275,麻米寺; ma mig dgon/,32.04,83.72,sger rtse rdzong /; 改则县; Gertse County; ma mig chus (sger rtse rdzong)
G4901,lhar yag dgon pa/; 黑尔雅寺,32.2302,102.17435,马尔康县; Barkham County; 'bar khams rdzong /
G2CN11081,mtsho kha dgon pa/,,,ri bo che rdzong /; Riwoche county; 类乌齐县
G1KR1511,chu mig dgon/; 曲米寺,29.13333,88.71667,gzhis ka rtse/; 桑珠孜区(2014); Shikatse City (1986-2014)
G1KR2337,bu'u smad do'u zi/; 吾曼道寺,35.599,102.58757,循化县; ya rdzi rdzong /
G1PD95978,广福寺; kong h+phu zi/,36.42867,102.71452,民和县; bka' ma log rdzong /
G301,shis tshang dgon gsar/; 西仓新寺,34.56912,102.55889,shis tshang /; 碌曲县; klu chu rdzong /
G2748,Ratsa Gon; ra rtsa dgon/,,,Gannan Prefecture; kan lho rang skyong khul/; 甘南州
G1KR312,mu ji si (dgon); 木吉寺,28.91667,101.83334,brgyad zil rdzong /; 九龙县
G4044,kun 'gro dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR1225,夏桑寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G00AG01696,phung po ri bo che dgon/,,,ngam ring rdzong /; Ngamring county; 昂仁县
G2LS520,glang sna dgon/; 朗纳寺,30.78333,81.48333,spu hreng rdzong /; Purang county; 普兰县
G1KR2889,lung dmar tshogs ra/; 龙麻宗教活动点,34.57473,95.34281,曲麻莱县; chu dmar leb rdzong /
G4057,dga' ldan phun tshogs gling dgon/; 彭措岭寺,31.1,101.86667,rong brag rdzong /; Rongdrak county; 丹巴县
G1687,pad snying dgon/; 白尼寺,32.4,99.05,sde dge rdzong /; 德格县; Derge County
G280,rgyal lha khang /; 杰堆寺,29.97411,90.9776,lhun grub rdzong /; 林周县; Lhundrub county; 'phan yul rgyal/
G2DOMM0037,Ürjan Khajodlin khiid; u rgyan mkha' spyod gling /,47.93,106.89,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G3945,rtse dgon bkra shis chos gling /,,,ser shul rdzong /; Seshul county; 石渠县
G3322,nyi ma thang dgon pa/; 尼玛汤寺,29.50162,91.05206,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; chu shur rdzong /; 曲水县; Chushur County; sne'u shang (chu shur rdzong)
G1KR1476,Pemaling; pad ma gling dgon/; 白玛林寺,28.28124,90.75196,lho brag rdzong /; 洛扎县; Lhodrag county
G1592,a dkar dgon/; 朱贡寺,30.93333,100.31667,nyag rong rdzong /; 新龙县; Nyakrong county
G1KR1753,sgang ru sgra rgyal dgon/; 贡如寺,32.525614,94.545218,Bachen county; sbra chen rdzong /; 巴青县
G3CN379,rta nag sgrol ma phug,,,rta nag mda' shang (bzhad mthong smon); rta nag lung pa/
G2581,拉喔寺; gla gro dgon/,32.34979,97.16551,yul shul rdzong /; 玉树县
G2878,khyung rdzong dkar po/,,,ru thog rdzong /; 日土县; Rutok County; rtsa mda' rdzong /; 札达县; Tsada County
G2082,khra kha dgon/,,,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县
G1KR1224,日邦寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G2LS551,gser gti dgon/; 色底当曲林寺,32.21667,79.35,rtsa mda' rdzong /; 札达县; Tsada County
G4135,dam pa rang grol dgon/; 单巴绒珠寺,30.48333,101.48333,rta'u rdzong /; 道孚县; Tawu county; lcags zam rdzong /; 泸定县
G1PD95786,藏经寺; tshang cing zi/,36.61,101.78,西宁市; zi ling grong khyer/
G1KR311,er go si (dgon); 尔苟寺,28.91667,101.83334,brgyad zil rdzong /; 九龙县
G1KR2670,涣隆寺; dpon lung dgon pa/,33.78,101.03,久治县; gcig sgril rdzong /
G3280,hor tshang dgon gsar/,,,hor tshang /
G2053,饶杰林寺; rab rgyas gling dgon/,29.75643,91.67002,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县
G3467,扎嘎寺; dzaHka dgon/,31.05,99.28333,dpal yul rdzong /; Palyul county; 白玉县
G1KR84,干木足寺; ka mchog dgon/,31.86911,102.46491,马尔康县; Barkham County; 'bar khams rdzong /
G1KR1239,白江寺,30.23333,98,brag g.yab rdzong /; 察雅县; Drakyap County
G1PD96281,多洛塘尼姑寺; do lo thang jo mo dgon pa/,35.71004,102.35463,循化县; ya rdzi rdzong /
G1KR2306,斗仓寺; du'u tshang zi/,36.16243,102.33701,化隆回族自治县; ba yan rdzong /
G00AG01700,dwags po rtse le dgon/; 孜列寺,28.86667,92.81667,加查县; Gyatsha county; rgya tsha rdzong /
G3CN378,rta nag phu dgon/,,,rta nag lung pa/; rta nag phu shang (bzhad mthong smon)
G1KR764,康坞寺; khe 'ong dgon,28.13333,101.21667,mu li rdzong /; 木里县; Muli county
G3811,'o thang dgon/,,,dpal yul rdzong /; Palyul county; 白玉县
G4609,乌香拉康; 'ur zhang dgon/,29.42962,90.9485,chu shur rdzong /; 曲水县; Chushur County
G1PD95785,金塔寺; cing tha zi/,36.61,101.78,西宁市; zi ling grong khyer/
G1KR1540,dkyil mkhar brag phug; 金嘎溶洞,28.78333,89.31667,rgyal rtse rdzong /; 江孜县; Gyangtse county
G1KR1223,夏林寺,30.56667,97.78333,brag g.yab rdzong /; 察雅县; Drakyap County
G1BR008,Atsagatsky datsan,52.005833,108.272222,Buryatia
G226,gsang phu ne'u thog dgon pa/; Sangpu; 桑普寺,29.54832,91.08624,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; gsang /
G1KR310,扎孜寺; brag rtse si/,28.91667,101.83334,brgyad zil rdzong /; 九龙县
G4042,de'u 'bur dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G4346,sa dmar dgon/; 红土寺,32.40578,101.1531,'dzam thang rdzong /; 壤塘县
G393,阿木去乎寺; a mchog dgon/,34.80092,102.67969,bsang chu rdzong /; 夏河县; a mchog; a mchog zhang (bsang chu rdzong)
